No.,Title,Brand/ Manufacturer,Date,UPC codes,model.id,Summary,Repair Number,,Unnamed: 5,brand_names,retail_names,manufacturer,Title
8832,Crib Toys Recalled by Durham Industries,Crib,7/13/1983,,"5340, 5342","Crib Toys Recalled by Durham Industries NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 13, 1983 Release # 83-042 Durham Industries Mickey Mouse Musical Crib Train Toy Recalled Washington, D.C. -- In cooperation with the Consumer Product Safety Commission, Durham Industries, Inc. New York, NY, today announced a voluntary recall of approximately 6,200 Mickey Mouse Musical Crib Train Toys, Model 5340/5342, because small parts may break off this toy if it is dropped. These small parts may present a choking, aspiration, or swallowing hazard. CPSC safety standards specify that toys for children under three (3) must not have such small parts. Since June, 1982, approximately 6,200 of these toys have been sold through Toys-R-Us Stores in the East Coast, West Coast, Midwest, and Florida, for $13 to $15 each. The CPSC is not aware of any reports of injuries involving this toy. The toy is a pink plastic train engine with blue wheels and smokestack. It is 7 l/2 inches long by 3 l/2 inches wide by 7 l/2 inches high. There is a Mickey Mouse face on the front of the train. The toy is designed to be fastened on to the rail of a baby crib. When the smokestack is 'wound up' ,the train moves along the crib rail and plays music. The train may also be used as a floor toy. The following label is molded on the right side of the train engine: ""DURHAM INDUSTRIES, INC., MCMLXXXII NEW YORK, N.Y. 10010, ITEM NO. 5340/5342 MADE IN HONG KONG."" Consumers should remove these toys from use immediately and return them to the retailer where purchased for a full refund. For further information, consumers may call Durham Industries (212-679-2222), or the Consumer Product Safety Commission's toll-free Hotline on 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",83042,,https://www.cpsc.gov/Recalls/1983/Durham-Industries-Mickey-Mouse-Musical-Crib-Train-Toy-Recalled,Crib Toys,,Durham Industries,Crib Toys Recalled by Durham Industries
8833,Coffeemakers Recalled by North American Systems,Coffeemakers,6/22/1983,,CMX-1000,"Coffeemakers Recalled by North American Systems NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Telephone Number & Responding Company Change. FOR IMMEDIATE RELEASE Originally issued June 22, 1983, Revised January 14, 2003 Release # 83-037 CPSC And North American Systems, Inc., Announces Voluntary Mr. Coffee Recall WASHINGTON, D.C. -- The Consumer Product Safety Commission has joined with North American Systems, Inc., in a voluntary recall of the CMX-1000 l2-cup 4-button Digital Clock model of the Mr. Coffee coffeemaker because of a potential fire hazard. CPSC and the firm are aware of twenty complaints where the product has failed although no injuries have been reputed. There were over 300,000 machines manufactured of which 147,000 have already been modified. The problem occurs while the coffeemaker is plugged in and set to any of the three control positions (on, off, automatic). Failure could result in overheating, smoking, or ignition of the coffeemaker. Only machines manufactured between September 21, 1981 and April, 1982, are involved. No other Mr. Coffee units and models manufactured by NAS are affected or involved. The CMX-1000 12-cup 4-button Digital Clock units subject to the NAS modification program are date-stamped on the bottom metal plate with 3 digit code numbers starting at 38-l and ending at 21-2. The first two digits represent the week of the year and the third digit represents the year. Each unit was sold retail to consumers for approximately $30 to $40. North American Systems, Inc., advises consumers to check their machines for the above listed date code numbers and to unplug and discontinue use of their machine at once if its date code number falls into this range. NAS advises consumers to disregard this notice if their machine has been modified as a result of previous contact with the company or an authorized service center. If a unit is subject to this recall, consumers should contact Sunbeam Products, Inc. at (800) 672-6333 for assistance (Mr. Coffee is no longer owned by North American Systems, Inc., but Sunbeam Products, Inc. has now taken over in responding to questions about this recall). Information concerning this matter is also available to consumers who call CPSC's toll-free Hotline at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",83037,,https://www.cpsc.gov/Recalls/1983/CPSC-And-North-American-Systems-Inc-Announces-Voluntary-Mr-Coffee-Recall,,,North American Systems,Coffeemakers Recalled by North American Systems
8834,Whistle Switches Recalled by Mark Engineering,Whistle,6/21/1983,,,"Whistle Switches Recalled by Mark Engineering NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE June 21, 1983 Release # 83-036 7,000 Whistle Switches Recalled Washington, D.C. -- In cooperation with the Consumer Product Safety Commission, Mark Engineering Inc., Fitchburg, Massachusetts, warns owners that Model 1C of their ""Whistle Switch"" Remote Control Device, manufactured prior to June 30, 1978, may present a fire hazard. The product was also private labeled for the Invento Products Corp., Long Island City, New York, as the ""Sonic Switch."" The firm estimates that 7,000 units remain in use. CPSC is aware of more than 10 incidents where the product has overheated, smoked, and in some cases sparked or ignited. The incidents have resulted in one reported injury in Hyannis, Massachusetts, when a consumer burned her hand attempting to remove a flaming Whistle Switch from an electrical outlet. Minor property damage has been reported. The model 1C Whistle Switch or Sonic Switch is an electrically operated remote control switch for household appliances. The switch is housed in a 2 l/2"" by 4 l/4"" by 2"" beige colored plastic case, which plugs into an electrical outlet. An appliance can be plugged into the receptacle at the front of the switch. The switch can be turned on or off by squeezing a hand held, remote control ultrasonic whistle. The ultrasonic whistle is housed in a black plastic case. The product can be identified from a reverse side label attached to its plastic case of the switch. Mark Engineering reports that the problem can occur after an extended period of use when the two watt carbon resistors inside the unit overheat and/or fail. Subsequent models, identified as Model 2C and 3C, were redesigned to correct this problem. Mark Engineering Inc. will repair all model 1C Whistle Switches or Sonic Switches returned by consumers. The company warns all owners of this product to discontinue the use of their unit and to unplug it at once. The firm advises owners to adequately package and return their model 1C remote control switch to: Mark Engineering Inc., P.O. Box 193, Fitchburg, Massachusetts 01420. To assure proper handling, consumers should put their name and address on a separate piece of paper and include it with their returned unit. The company advises consumers that only its model 1C switches are affected and that it would not be responsible for other model switches or other products returned. Further, Model 1C units previously returned to the company for repair have already been modified and need not be returned again. Consumers who have questions regarding the return of their unit to Mark Engineering Inc., can contact the company at 617-342-6034. Information concerning this matter is also available to consumers on CPSC's toll free Hotline at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",83036,,https://www.cpsc.gov/Recalls/1983/7000-Whistle-Switches-Recalled,,,Mark Engineering,Whistle Switches Recalled by Mark Engineering
8837,Smoke Detectors Recalled By Honeywell,Smoke,5/24/1983,,"TC89B, TC89C","Smoke Detectors Recalled By Honeywell NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 24, 1983 Release # 83-029 Honeywell To Recall Certain Battery-Operated Smoke Detectors WASHINGTON, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission, Honeywell Inc., Minneapolis, Minnesota, today announced a voluntary recall affecting over 770,000 model TC89B and TC89C battery-operated smoke detectors that may not work when smoke is present. Honeywell learned that, because of circuit board mounting problems, some smoke detectors will not sound an alarm when smoke is present, but may alarm when the test button is pushed. Honeywell is asking consumers to return any detectors that have this defect for a replacement. Since Honeywell no longer makes residential smoke detectors, the firm will replace returned units with a comparable model produced by another manufacturer. Honeywell produced the affected detectors in 1977 and 1978. These models, which were sold nationally and in Canada, carry the model number TC89B and TC89C and have a date code between 7601 and 7820. The model numbers and date codes are found under the smoke detector cover, inside the detector on a piece of gray cardboard. To identify affected detectors, consumers should remove the cover from the detector. If the first five characters of the identification number contained on the piece of gray cardboard are TC89B or TC89C, and the date code is ANY NUMBER FROM 7601 THROUGH 7820, the detector should be carefully checked for proper operation in accordance with the instructions below. This action does not apply to Honeywell smoke detectors with date codes of 7821 or higher. Honeywell recommends that consumers check the battery and then carefully check to determine if the smoke detector is working properly by using an extinguished candle to create smoke near the detector. Consumers should cease to use broom handles or similar objects to push the test button on Honeywell smoke detectors. If the detector does not alarm with the presence of smoke, consumers should contact Honeywell on its toll-free number 800-328-8194 or write Honeywell Consumer Affairs, 10400 Yellow Circle Drive, Minnetonka, Minn. 55343. to see if your detector is covered by the recall. Because smoke detectors are important warning devices, Honeywell and the Commission urge consumers to replace non-working smoke detectors with new ones immediately. Both Honeywell and the Consumer Product Safety Commission strongly recommend the use of smoke detectors and further recommend that consumers regularly check smoke detectors, regardless of brand, to ensure proper operation. Consumers wishing further information may call the CPSC toll free Hotline at 800-638-CPSC, A teletypewriter number for the hearing impaired is (301) 595-7054. The Consumer Product Safety Commission recently announced the recall of certain Honeywell smoke detectors. The model number (TC89B or TC89C) and date code ( 7601 to 7820) are found under the smoke detector cover, inside the detector on gray cardboard (see illustration above). Consumers should call Honeywell on 800-328-8194 for further information.",83029,,https://www.cpsc.gov/Recalls/1983/Honeywell-To-Recall-Certain-Battery-Operated-Smoke-Detectors,,,,Smoke Detectors Recalled By Honeywell
8838,Baby Strollers Repaired by Graco,Baby,5/23/1983,,"6620, 6020","Baby Strollers Repaired by Graco NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Repair kit no longer available. Do not use these products. Please discard or destroy these products. FOR IMMEDIATE RELEASE Originally issued May 23, 1983; Revised August 27, 2001 Release # 83-028 CPSC Announces Repair Program For Baby Strollers WASHINGTON, D.C. -- The U. S. Consumer Product Safety Commission had announced a voluntary repair program being undertaken by Graco Children's Products, Inc., of Elverson, Pennsylvania, affecting approximately 49,000 E-Z Roller baby strollers. The strollers were distributed nationally between January, 1982, and April, 1983, and have the potential for infant finger entrapment in the main metal-folding hinge on each side of the stroller. Graco reports that since January 1982, the strollers have been involved in four incidents in which children, not yet in the stroller, placed their fingers in the main metal folding hinge on the sides of the stroller while it was being unfolded for use. The repair kit is no longer available. Please discard or destroy these products. Only Graco E-Z Roller baby strollers, Model 6620 and Model 6020 are affected. These umbrella type folding strollers have a blue denim seat, red handle grips, and a metal folding hinge, They were sold in retail stores nationwide for approximately $29. No other Graco strollers are affected. Consumers with questions can call Graco customer service toll-free at l-800-345-4109 between 9:00 a.m. and 4:00 p.m. Eastern Time. Consumers wishing further information may call the CPSC toll free Hotline at 800-638-CPSC. The teletypewriter number for the hearing impaired is (301) 595-7054. An infant's finger could be entrapped in the main metal-folding hinge on each side of the stroller as it is being opened for use. Only models 6630 and 6020 are involved.",83028,,https://www.cpsc.gov/Recalls/1983/CPSC-Announces-Repair-Program-For-Baby-Strollers,,,Strollers Repaired by Graco,Baby Strollers Repaired by Graco
8840,FIBRO-CLAY Recalled by Milton Bradley,FIBRO,4/1/1983,,,"FIBRO-CLAY Recalled by Milton Bradley NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE March 1983 Release # 83-012 CPSC and Milton Bradley Co. Recall ""Fibro-Clay"" Washington, D.C. -- The Consumer Product Safety Commission and the Milton Bradley Company of Springfield, Massachusetts, have been advised that asbestos has been found in packages of Milton Bradley's ""Fibro-Clay"", a school art modeling compound used to make paper mache'. The company is voluntarily recalling the product. The Commission is taking immediate action to assure that manufacturers have not resumed using asbestos in this or any similar school art supplies and to assure that no additional lots of the old products containing asbestos exist. This will be accomplished through a nationwide sampling and testing program of distributors of this type of product. Milton Bradley made Fibro-Clay from 1967 until 1975, when it ceased manufacture of the product. The firm stated that no asbestos has been used in the formula since 1972, and that the quantity sold by its Educational Division was relatively small. Schools and consumers are advised to stop using Milton Bradley Fibro-Clay, even through the presence of asbestos may be limited to only a small percentage of this product. The Commission recommends placing the product in a plastic bag , trying to disturb the product as little as possible, and cleaning any areas contacted by the Fibro-Clay with water. Asbestos has been shown to cause cancer of the lung and other organs according to studies of workers and others exposed to asbestos. The Commission is concerned that children in schools where Fibro-Clay is used might be exposed to airborne asbestos in view of the powdered composition of the product. School authorities in Wayne, New Jersey, recently identified asbestos in Fibro-Clay. The Commission has been alerted to this matter by a WCBS-TV broadcast in New York City and by a letter from Dr. Irving J. Selikoff, a Professor at the Mount Sinai Medical Center in New York City, describing recent tests of the product he conducted. For further information, consumers may call the Milton Bradley Company (413) 525-6411, or the Consumer Product Safety Commission's toll-free Hotline on 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",83012,,https://www.cpsc.gov/Recalls/1983/CPSC-and-Milton-Bradley-Co-Recall-Fibro-Clay,,,Milton Bradley,FIBRO-CLAY Recalled by Milton Bradley
8842,Adapters For TI 99/4A Computer Provided by Texas Instruments,Adapters,3/1/1983,,99/4A,"Adapters For TI 99/4A Computer Provided by Texas Instruments NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE March 1983 Release # 83-071 Texas Instruments Providing Adapter For TI 99/4A Computer Washington, D.C. -- In cooperation with U.S. Consumer Product Safety Commission, Texas Instruments Incorporated said today that it is conducting a voluntary program of providing transformer adapters free of charge to correct a potential defect recently discovered in one model of the transformers supplied with the Texas Instruments 99/4A home computer. Over four hundred thousand transformer units are involved. The transformer is the small black box which plugs in between the computer and the electrical outlet. Consumers are instructed to plug in their adapter between the transformer and the wall outlet. The company reported it had found by laboratory testing that there is a remote possibility that a failure of the transformer could result in certain metal parts of the computer console becoming electrified thus presenting a possible shock hazard. Neither the Consumer Product Safety Commission nor Texas Instruments has received any report of hazardous incident or injury from the hundreds of thousands of Texas Instruments home computers in use. The 99/4A model home computers have been sold in a variety of retail outlets over the past year at suggested retail prices of $450 and $375 with $100 rebate in effect since September 11, 1982. All owners of the 99/4A known to the company through rebate cards or warranty cards will receive the adapters automatically by mail. The company asks owners who are not sure their names and addresses are in its files to call the Texas Instruments toll free numbers (800-858-4565 or 800-527-3550 ) (Texas only: 800-858-1802), and request that the adapter be sent to them. Prior to receipt and installation of the adapter plug or cord, the company advises consumers to unplug and discontinue using computer if any sign of transformer overheating, unusual odor, or computer malfunction occurs. Texas Instruments is also instituting a green ""Safety Check"" label for easy recognition by customers that the transformers in inventory at retail stores have been inspected and modified as necessary. A similar label will be placed on the transformer and its wrapper inside the box. Consumers who desire further information or who have questions regarding the Texas Instruments 99/4A home computer may call CPSC's toll free hotline: 800-638-CPSC. A teletypewriter for the hearing impaired is (301) 595-7054.",83071,,https://www.cpsc.gov/Recalls/1983/Texas-Instruments-Providing-Adapter-For-TI-994A-Computer,,,Texas Instruments,Adapters For TI 99/4A Computer Provided by Texas Instruments
8844,Attic Ventilators Recalled by Westinghouse & Broan,Attic,1/24/1983,,N346,"Attic Ventilators Recalled by Westinghouse & Broan NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Phone Number Change FOR IMMEDIATE RELEASE Orginally issued March 24, 1983; Revised August 27, 2002 Release # 83-014 Westinghouse, Broan Recalling Electric Motors For Powered Attic Ventilators Washington, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission, Westinghouse Electric Corporation and Broan Manufacturing Co., today announced a voluntary recall of approximately 16,000 electric motors supplied by Westinghouse for Broan Model 346 and Nautilus Model N346 attic ventilators. The ventilator motors which are miswired may, under certain conditions, overheat and cause fires. The attic ventilators were sold nationwide through electric supply houses to builders and contractors and through home centers directly to consumers. The units were manufactured and sold after April 1978. Owners should determine if they have a Broan or Nautilus roof-mounted powered attic ventilator. The ventilator can be identified from outside the house by the two foot diameter round beige plastic dome with either a Broan or Nautilus logo embossed in the top or from literature delivered with the products. If they have either model they should enter the attic to inspect the unit for model (series) 346 or N346 label on the thermostatic control or inside the dome. The motors subject to recall have a Westinghouse sticker with the model number E322P159, and are painted gray. There are also 12 rectangular holes in the bottom of the motor. Only motors with the model number E322P159 and with SER*78 or SER*79 date codes stamped on the bottom (*is any letter of the alphabet) are affected by this recall. The manufacturer has received one report of fire. No consumers have been injured. Owners are asked to copy down the motor model number and date codes before calling the toll free number given below if they have one of the suspect ventilators in their homes. Owners of the affected ventilators must disconnect or turn them off, and contact Westinghouse Electric Corporation on their toll-free number: 1-800-637-1453. A new motor will be supplied and installed by service personnel free of charge. This recall affects only Broan Model 346 and Nautilus N346 powered attic ventilators using motors with the E322P159 number and no other Broan or Nautilus powered attic ventilators with Westinghouse or other motors.",83014,,https://www.cpsc.gov/Recalls/1983/Westinghouse-Broan-Recalling-Electric-Motors-For-Powered-Attic-Ventilators,,,Westinghouse,Attic Ventilators Recalled by Westinghouse & Broan
8847,Serious Strangulation RisksStill Exist In Previously Recalled Stuffed Toys,Serious,11/16/1982,,"34-3645, 34-1972, 34-3462, 34-3653, 34-3661, 34-3662, 34-3666","Serious Strangulation Risks Still Exist In Previously Recalled Stuffed Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 16, 1982 Release # 82-048 CPSC Survey Reveals Serious Strangulation Risks Still Exist In Previously Recalled Stuffed Toys WASHINGTON, D.C. -- A survey by the U.S. Consumer Product Safety Commission revealed that as many as 180,000 stuffed plush mobile animal toys that were originally voluntarily recalled by R. Dakin & Co. in 1979-80, may continue to pose a strangulation hazard to infants. For this reason the importer of the toys, R. Dakin & Co. of San Francisco, has redoubled its efforts to remove the hazard from consumer's hands. The 1982 CPSC survey analysis (the first of its kind conducted) indicated that a majority of Dakin consumers contacted were not aware of the recall. Some who still owned the toy were using it in a manner that placed their children at risk. An eleven-month-old baby girl and an eight-month-old baby boy strangled in the fall of 1979 where in separate incidents, each became entangled in the elastic strings suspending the toy from a crib bedpost. R. Dakin & Co. had undertaken a voluntary recall program in 1979-80 to notify toy owners of the potential hazard. Over 400,000 toys were then involved. Dakin's renewed efforts include paid ads in magazines aimed at parents of infants and toddlers. Dakin has also agreed to mail safety warning posters to thousands of pediatricians across the country for display in their waiting rooms. Involved in the recall are six different models of stuffed toys which are intended to be suspended by means of three elastic cords. The recalled Dakin toys are: Hummbug Bee Model 34-3645 Embo Elephant Model 34-1972 Jolly Polly Parrot Model 34-3462 Stanley Stork Model 34-3653 Lucky Ladybug Model 34-3662 Duckswoop Model 34-3666 Each toy is covered with plush fabric and contains a musical chime device. The R. Dakin & Co. name appears on a tag sewn on each animal. The stuffed toys were imported from South Korea and sold in the United States approximately $7-10 in toy and other retail stores. For a full refund of the retail purchase price and reimbursement of postage costs , parents should return the animals to R. Dakin & Co., 499 Point San Bruno Blvd., South San Francisco, California 94080. Consumers who wish to keep the toys should: 1) cut off the three elastic cords, and 2) phone Dakin, toll-free, at 800-227-6598; in California, 800-632-2179.",82048,,https://www.cpsc.gov/Recalls/1983/CPSC-Survey-Reveals-Serious-Strangulation-Risks-Still-Exist-In-Previously-Recalled-Stuffed-Toys,,,,Serious Strangulation RisksStill Exist In Previously Recalled Stuffed Toys
8850,Swyngomatic Converta Cradles Repaired by Grace Metal,Swyngomatic,10/21/1982,,"5900, 5905, 5970","Swyngomatic Converta Cradles Repaired by Grace Metal NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE October 21, 1982 Release # 82-044 Voluntary Repair Program Announced For Swyngomatic Converta Cradles WASHINGTON, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission, Grace Metal Products, Inc., of Elverson, Pennsylvania, today announced a voluntary repair program affecting approximately 67,000 ""Swyngomaric"" Converta Cradles. The repair program is being conducted as a result of alleged insufficient support for the cradle's masonite bottom board which may allow infants to fall out of the cradle if the board is not positioned properly during assembly by the purchaser. The Commission is aware of 36 instances of the bottom collapsing which resulted in children falling out of the cradle to the ground. In at least 13 of these instances, injuries resulted consisting of bruises and cuts to the infants. The repair program applies to Converta Cradles manufactured from September, 1979 through July, 1980. The product is marketed as a 3 in 1 unit which can be used as a cradle, a swing or a carry cradle. The cradle consists of mesh sides with a steel tubular carrying handle which connects to the wind up mechanism. Those cradles which do not have two metal rods supporting the bottom board are affected by this repair program. The products, which were sold exclusively through Grace Children's Products, Inc., for $30 to $45 have been sold in retail stores nationwide under the trade name, ""Swyngomatic"", models 5900, 5905 and 5970. They were also sold by Sears,Roebuck and Co. in its catalogue under the ""Swyngomatic"" name, catalogue i/36261 and 36273; J.C. Penney Company in its catalogue under the trade name ""Toddle time"", catalogue #5161, and Montgomery Ward in its catalogue under the trade name ""Wynd-A-Matic"", catalogue number 5339. Grace has redesigned the bottom cradle board with floor support rods which they believe will provide an additional safety feature in the event the bottom board is not properly positioned during assembly. Consumers owning affected Converta Cradles should write to Grace Metal Products, P.O. Box 200, Elverson, Pennsylvania 19520 or call the firm on its toll-free telephone number, 800-345-4109 (in Pennsylvania, call 215-286-5951), for a free support kit consisting of two steel support rods, fasteners, and assembly instructions. Until the support rods are received, consumers are cautioned against using affected cradles.",82044,,https://www.cpsc.gov/Recalls/1982/Voluntary-Repair-Program-Announced-For-Swyngomatic-Converta-Cradles,,,Grace Metal,Swyngomatic Converta Cradles Repaired by Grace Metal
8851,Pronto Caffe Espresso/Cappuccino Machines Recalled by Continental Gourmet,Pronto,9/29/1982,,,"Pronto Caffe Espresso/Cappuccino Machines Recalled by Continental Gourmet NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 29, 1982 Release # 82-042 Continental Gourmet Corp. And CPSC Reach Agreement To Replace Parts On Some Pronto Caffe EM-L Espresso Cappuccino Appliances WASHINGTON, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), the Continental Gourmet Corp. of Edison, New Jersey, has agreed to replace parts on its Pronto Caffe EM-l Espresso/Cappuccino SBevearge Makers which were manufactured through May 1980. Approximately 22,000 units may be involved. According to CPSC, the coffee basket in particular units b of this appliance may be difficult to secure. The unit has a water reservoir below which the coffee basket is attached. The brewed coffee drips into a glass carafe positioned directly beneath the basket. If the coffee basket is not properly secured to the unit, the normal buildup of steam pressure could potentially cause the basket to dislodge and strike the glass carafe, resulting in flying glass and hot liquid. Eleven incidents of apparent basket detachment have been reported to the CPSC, four of which noted the occurrence of minor injuries consisting of cuts and burns. Additional incidents have been reported directly to the Company, two of which allegedly resulted in minor injuries. These beverage makers can be identified by the following date codes located on the bottom of each unit, the first number in each column indicating the month and second number indicating the year: 11 9 or 11 79 12 9 or 12 79 1 8 or 1 80 2 8 or 2 80 3 8 or 3 80 4 8 or 4 80 5 8 or 5 80 Continental Gourmet Corp. is offering consumers a replacement of the original coffee basket with a ""universal"" basket that has been modified for easier and more secure attachment to the unit and an unbreakable plastic carafe for the original glass carafe. Consumers who own an EM-l model with date codes specified above should refrain from using their appliance and, should contact the Continental Gourmet Corp. on its toll-free numbers as follows to obtain replacement parts: ALL UNITED STATES, EXCEPT THE STATE OF NEW JERSEY: (800) 631-5473 ALL OF NEW JERSEY, EXCEPT (201) AREA CODE: (800) 272-1293 NEW JERSEY (201) AREA CODE: (201) 287-5360 or write to: Continental Gourmet Corp. 11 Executive Avenue Edison, New Jersey 08817",82042,,https://www.cpsc.gov/Recalls/1982/Continental-Gourmet-Corp-And-CPSC-Reach-Agreement-To-Replace-Parts-On-Some-Pronto-Caffe-EM-L-Espresso-Cappuccino-Appliances,,,Continental Gourmet,Pronto Caffe Espresso/Cappuccino Machines Recalled by Continental Gourmet
8854,Infant Seat/Carriers Recalled by Pines,Infant,8/17/1982,,"412, 36511","Infant Seat/Carriers Recalled by Pines NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE August 17, 1982 Release # 82-034 Voluntary Recall Program Announced For Infant Seat/Carriers WASHINGTON, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission, Pines of America, Ft. Wayne, Indiana, today announced a voluntary refund program affecting 15,000 combination infant seat/carriers. The combination infant seat and carrier features a removable leg rest, removable feeding tray and a metal frame permitting use as either a rocker, stationary seat or carrier. When used as a carrier, consumers may carry the product by holding it under its detachable leg rest. By carrying it in this manner, the leg rest may come off and allow the product to fall off the carrier. Pines of America has received two reports of leg rests becoming detached while being used to carry the infant and carrier, allegedly allowing the infant being carried to fall out. The products were sold by numerous retail stores nationwide under the brand name of ""Tenderkare,"" model 412 and by Sears, Roebuck and Co. under the brand name of ""Winnie-the-Pooh Rocker-Carrier,"" model 36511, between 1975 and 1980 for approximately $20.00. No other infant seat/carriers are involved in this refund program. Earlier efforts by the firm to reach owners of affected products have resulted in few returns of the detachable leg rests. Consumers owning affected models should discontinue use of the detachable leg rest as a handle and should return the leg rest (with their name and address) in exchange for a $5.00 refund to Pines of America, 5120 Investment Drive, P.O. Box 8601, Ft. Wayne, Indiana 46808, Postage costs will also be Reimbursed. Consumers requiring additional information on this refund program, should call Pines of America toll-free at 800-348-0751, or the CPSC's toll-free Hotline at 800-638-2772.",82034,,https://www.cpsc.gov/Recalls/1982/Voluntary-Recall-Program-Announced-For-Infant-SeatCarriers,,,Pines,Infant Seat/Carriers Recalled by Pines
8857,Brass Craft Manually Operated Appliance Connector Valves Recalled,Brass,6/1/1982,,"GFNDI - E4, GFNDI -H6, GFNDI - G4, MGFNDI - H6, SC2E, SC3E, SC4E, SClE, SD7L, MSC4E, SD4L, SC5E, SL4L, SL7L","June 1, 1982 Release # 82-024 Brass Craft Manually Operated Appliance Connector Valves Recalled WASHINGTON, D.C. -- The U.S. Consumer Product Safety Commission in cooperation with Brass Craft Manufacturing Co., in Detroit, Michigan is voluntarily recalling approximately 112,000 manually operated gas appliance connector valves because drying of the valve lubricant may cause the valve to leak gas when in a closed position. Brass Craft has already received approximately 77,000 units. The non displaceable rotor gas valves being recalled were manufactured between November, 1980 and July, 1981. They were distributed after January 1, 1981 to a variety of original equipment manufacturers, wholesale hardware/plumbing distributors and retailers for consumer use in connecting gas appliances such as stoves or furnaces where a straight pipe connection does not exist. There have been no reports of failure or injuries associated with the use of the valves. The recall pertains to Brass Craft non displaceable rotor gas valves identified as: GFNDI - E4 GFNDI -H6 GFNDI - G4 MGFNDI - H6 or attached to connectors identified as: SC2E (all lengths) SC3E (all lengths) SC4E (all lengths) SClE (all lengths) SD7L (all lengths) MSC4E (all lengths) SD4L (all lengths) SC5E (all lengths) SL4L (all lengths) SL7L (all lengths) These valves are easily identified by a pyramid sign and the letters BC embossed on each handle. Any of these valves with a + (plus) sign shown ahead of the BC were manufactured after August, 1981 and are not included in this voluntary recall program. Consumers should exercise caution when attempting to locate the valve and its model number. If any odor of leaking gas is present, consumers should not attempt to locate the valve but should instead immediately contact their LP or Natural gas supplier or appliance installer/contractor for assistance. When looking for the valve and model number, consumers should be careful not to use matches or any other ignition source which could cause any accumulated gas to explode. Consumers who use one of these valves should immediately contact their appliance or furnace installer, the gas supplier or call Brass Craft collect at 313-871-0933 and ask for the Quality Assurance Manager for instructions to have a new control valve installed free of charge or call the U.S. Consumer Product Safety Commission's toll free Hotline at 800-638-2772",82024,,https://www.cpsc.gov/Recalls/1982/Brass-Craft-Manually-Operated-Appliance-Connector-Valves-Recalled,,,,Brass Craft Manually Operated Appliance Connector Valves Recalled
